project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,,,
https://github.com/uclmr/jack,FALSE,TRUE,19,1683,169,37,https://api.github.com/users/dirkweissenborn,TRUE,,,
https://github.com/tensorflow/benchmarks,FALSE,TRUE,47,534,545,361,https://api.github.com/users/reedwm,TRUE,Tensorflow Benchmarks,,
https://github.com/blue-oil/blueoil,FALSE,TRUE,19,490,157,41,https://api.github.com/users/lm-konda,TRUE,,,
https://github.com/benbaptist/minecraft-wrapper,FALSE,TRUE,10,1693,66,26,https://api.github.com/users/suresttexas00,TRUE,,,
https://github.com/trevorlinton/webkit.js,FALSE,TRUE,7,205,1776,82,https://api.github.com/users/trevorlinton,TRUE,,,
https://github.com/pytorch/vision,FALSE,TRUE,128,404,2739,1323,https://api.github.com/users/soumith,TRUE,,,
https://github.com/codalab/codalab-cli,FALSE,TRUE,26,1822,33,31,https://api.github.com/users/percyliang,TRUE,,,
https://github.com/mariogeiger/se3cnn,FALSE,TRUE,6,430,38,12,https://api.github.com/users/mariogeiger,TRUE,,,
https://github.com/kengz/SLM-Lab,FALSE,TRUE,7,899,460,72,https://api.github.com/users/kengz,TRUE,,,
https://github.com/hunkim/DeepLearningZeroToAll,FALSE,TRUE,46,309,3078,1852,https://api.github.com/users/hunkim,TRUE,Tensorflow Basic Tutorials,,
https://github.com/RedisAI/RedisAI,FALSE,TRUE,6,182,60,8,https://api.github.com/users/lantiga,TRUE,,,
https://github.com/AmazingAmpharos/OoT-Randomizer,FALSE,TRUE,27,1241,241,137,https://api.github.com/users/TestRunnerSRL,TRUE,,,
https://github.com/hackingmaterials/matminer,FALSE,TRUE,25,2825,118,63,https://api.github.com/users/saurabh02,TRUE,,,
https://github.com/pytorch/tnt,FALSE,TRUE,26,129,838,121,https://api.github.com/users/szagoruyko,TRUE,Library for PyTorch,,
https://github.com/facebookresearch/ParlAI,FALSE,TRUE,73,2316,4175,765,https://api.github.com/users/emilydinan,TRUE,,,
https://github.com/drckf/paysage,FALSE,TRUE,5,1008,83,19,https://api.github.com/users/drckf,TRUE,,,
https://github.com/MIC-DKFZ/batchgenerators,FALSE,TRUE,11,351,116,21,https://api.github.com/users/FabianIsensee,TRUE,,,
https://github.com/aws/sagemaker-python-sdk,FALSE,TRUE,60,387,485,211,https://api.github.com/users/laurenyu,TRUE,,,
https://github.com/StanfordVL/GibsonEnv,FALSE,TRUE,6,1147,406,62,https://api.github.com/users/fxia22,TRUE,,,
https://github.com/arraiyopensource/torchgeometry,FALSE,TRUE,7,318,528,31,https://api.github.com/users/edgarriba,TRUE,,,
https://github.com/YosefLab/scVI,FALSE,TRUE,12,409,180,53,https://api.github.com/users/Edouard360,TRUE,,,
https://github.com/PySimpleGUI/PySimpleGUI,FALSE,TRUE,10,1890,1161,139,https://api.github.com/users/MikeTheWatchGuy,TRUE,,,
https://github.com/eriklindernoren/PyTorch-GAN,FALSE,TRUE,5,152,2339,565,https://api.github.com/users/eriklindernoren,TRUE,,,
https://github.com/tongpi/basicOCR,FALSE,TRUE,8,141,236,108,https://api.github.com/users/ten2net,TRUE,Description in Chinese, not in English,
