project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/moravianlibrary/CPK,FALSE,TRUE,74,11835,11,2,https://api.github.com/users/demiankatz,TRUE
https://github.com/MoonchildProductions/UXP,FALSE,TRUE,60,1680,174,30,https://api.github.com/users/janekptacijarabaci,TRUE
https://github.com/monero-project/research-lab,FALSE,TRUE,7,195,90,45,https://api.github.com/users/b-g-goodell,TRUE
https://github.com/mlperf/training,FALSE,TRUE,22,198,673,204,https://api.github.com/users/petermattson,TRUE
https://github.com/mlperf/inference,FALSE,TRUE,17,124,45,26,https://api.github.com/users/jveejay,TRUE
https://github.com/mlflow/mlflow,FALSE,TRUE,75,532,3169,546,https://api.github.com/users/smurching,TRUE
https://github.com/mittagessen/kraken,FALSE,TRUE,9,657,119,18,https://api.github.com/users/mittagessen,TRUE
https://github.com/mila-iqia/gene-graph-conv,FALSE,TRUE,7,539,11,3,https://api.github.com/users/mweiss17,TRUE
https://github.com/mila-iqia/babyai,FALSE,TRUE,12,1178,179,28,https://api.github.com/users/maximecb,TRUE
https://github.com/mil-tokyo/webdnn,FALSE,TRUE,11,1238,1545,125,https://api.github.com/users/Kiikurage,TRUE
https://github.com/Microsoft/MMdnn,FALSE,TRUE,54,951,3100,613,https://api.github.com/users/kitstar,TRUE
https://github.com/Microsoft/malmo,FALSE,TRUE,23,1465,3150,490,https://api.github.com/users/DaveyBiggers,TRUE
https://github.com/Microsoft/ELL,FALSE,TRUE,15,3361,1944,269,https://api.github.com/users/cjacobs,TRUE
https://github.com/MIC-DKFZ/batchgenerators,FALSE,TRUE,11,351,116,21,https://api.github.com/users/FabianIsensee,TRUE
https://github.com/meetshah1995/pytorch-semseg,FALSE,TRUE,13,184,1600,438,https://api.github.com/users/meetshah1995,TRUE
https://github.com/mdbloice/Augmentor,FALSE,TRUE,18,483,2868,524,https://api.github.com/users/mdbloice,TRUE
https://github.com/mcdevs/Burger,FALSE,TRUE,8,355,51,11,https://api.github.com/users/Pokechu22,TRUE
https://github.com/matpow2/cuwo,FALSE,TRUE,12,676,146,46,https://api.github.com/users/matpow2,TRUE
https://github.com/markblundeberg/openswap,FALSE,TRUE,221,4708,13,1,https://api.github.com/users/ecdsa,TRUE
https://github.com/markblundeberg/coinsplitter,FALSE,TRUE,222,4746,11,5,https://api.github.com/users/ecdsa,TRUE
https://github.com/mariogeiger/se3cnn,FALSE,TRUE,6,430,38,12,https://api.github.com/users/mariogeiger,TRUE
https://github.com/mahyarnajibi/SNIPER-mxnet,FALSE,TRUE,384,6631,13,7,https://api.github.com/users/tqchen,TRUE
https://github.com/maciejkula/spotlight,FALSE,TRUE,8,286,1518,218,https://api.github.com/users/maciejkula,TRUE
https://github.com/lukemelas/image-paragraph-captioning,FALSE,TRUE,6,173,17,5,https://api.github.com/users/ruotianluo,TRUE
https://github.com/linjieyangsc/densecap,FALSE,TRUE,207,3769,26,16,https://api.github.com/users/shelhamer,TRUE
https://github.com/libtcod/python-tcod,FALSE,TRUE,12,985,156,13,https://api.github.com/users/HexDecimal,TRUE
https://github.com/libtcod/libtcod,FALSE,TRUE,21,845,63,9,https://api.github.com/users/HexDecimal,TRUE
https://github.com/LiberTEM/LiberTEM,FALSE,TRUE,5,542,21,6,https://api.github.com/users/sk1p,TRUE
https://github.com/leVirve/pixel-styler,FALSE,TRUE,18,171,11,1,https://api.github.com/users/junyanz,TRUE
https://github.com/LCAD-UFES/carmen_lcad,FALSE,TRUE,31,2722,33,15,https://api.github.com/users/albertodesouza,TRUE
https://github.com/lbryio/torba,FALSE,TRUE,6,310,15,8,https://api.github.com/users/eukreign,TRUE
https://github.com/lakewik/EasyStorj,FALSE,TRUE,8,784,81,16,https://api.github.com/users/lakewik,TRUE
https://github.com/Lab41/cyphercat,FALSE,TRUE,10,320,7,14,https://api.github.com/users/ninalopatina,TRUE
https://github.com/kymatio/kymatio,FALSE,TRUE,15,291,157,25,https://api.github.com/users/janden,TRUE
https://github.com/kubeflow/pipelines,FALSE,TRUE,28,494,668,117,https://api.github.com/users/IronPan,TRUE
https://github.com/kubedb/apimachinery,FALSE,TRUE,14,471,30,4,https://api.github.com/users/tamalsaha,TRUE
https://github.com/krishauser/Klampt,FALSE,TRUE,16,1934,68,34,https://api.github.com/users/krishauser,TRUE
https://github.com/Kitware/VIAME,FALSE,TRUE,17,2628,43,33,https://api.github.com/users/mattdawkins,TRUE
https://github.com/kipoi/models,FALSE,TRUE,11,243,55,22,https://api.github.com/users/Avsecz,TRUE
https://github.com/kipoi/kipoi,FALSE,TRUE,11,549,84,22,https://api.github.com/users/Avsecz,TRUE
https://github.com/kernelzeroday/opparis,FALSE,TRUE,6,132,34,43,https://api.github.com/users/kernelzeroday,TRUE
https://github.com/kengz/SLM-Lab,FALSE,TRUE,7,899,460,72,https://api.github.com/users/kengz,TRUE
https://github.com/kaldi-asr/kaldi,FALSE,TRUE,233,8103,5275,2634,https://api.github.com/users/danpovey,TRUE
https://github.com/Kaggle/docker-python,FALSE,TRUE,91,966,874,458,https://api.github.com/users/nerdcha,TRUE
https://github.com/jwyang/faster-rcnn.pytorch,FALSE,TRUE,19,430,2709,824,https://api.github.com/users/jwyang,TRUE
https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,FALSE,TRUE,34,346,6986,1757,https://api.github.com/users/junyanz,TRUE
https://github.com/joschu/cgt,FALSE,TRUE,10,204,604,85,https://api.github.com/users/joschu,TRUE
https://github.com/johannbrehmer/madminer,FALSE,TRUE,6,1098,10,8,https://api.github.com/users/johannbrehmer,TRUE
https://github.com/jmd1011/snek-LMS,FALSE,TRUE,7,263,21,1,https://api.github.com/users/GSAir,TRUE
https://github.com/jindongwang/transferlearning,FALSE,TRUE,7,415,2609,1051,https://api.github.com/users/jindongwang,TRUE
https://github.com/JianGoForIt/YellowFin_Pytorch,FALSE,TRUE,5,192,278,34,https://api.github.com/users/JianGoForIt,TRUE
https://github.com/jhu-lcsr/costar_plan,FALSE,TRUE,13,6922,34,9,https://api.github.com/users/cpaxton,TRUE
https://github.com/jantic/DeOldify,FALSE,TRUE,10,114,5181,360,https://api.github.com/users/jantic,TRUE
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE
https://github.com/IntelAI/inference-model-manager,FALSE,TRUE,10,212,33,3,https://api.github.com/users/mareklevv,TRUE
https://github.com/intel-analytics/BigDL,FALSE,TRUE,54,2231,2787,666,https://api.github.com/users/yiheng,TRUE
https://github.com/intel-analytics/analytics-zoo,FALSE,TRUE,42,953,381,139,https://api.github.com/users/hkvision,TRUE
https://github.com/inferno-pytorch/inferno,FALSE,TRUE,12,860,181,28,https://api.github.com/users/nasimrahaman,TRUE
https://github.com/ilastik/lazyflow,FALSE,TRUE,25,3231,66,52,https://api.github.com/users/stuarteberg,TRUE
https://github.com/ilastik/ilastik,FALSE,TRUE,40,6937,142,79,https://api.github.com/users/stuarteberg,TRUE
https://github.com/ikostrikov/pytorch-a2c-ppo-acktr,FALSE,TRUE,18,208,1141,248,https://api.github.com/users/ikostrikov,TRUE
https://github.com/IBM/mi-prometheus,FALSE,TRUE,9,1678,18,10,https://api.github.com/users/tkornut,TRUE
https://github.com/i-machine-think/machine,FALSE,TRUE,7,345,12,19,https://api.github.com/users/dieuwkehupkes,TRUE
https://github.com/huggingface/pytorch-pretrained-BERT,FALSE,TRUE,46,542,3868,769,https://api.github.com/users/thomwolf,TRUE
https://github.com/hpi-xnor/BMXNet-v2,FALSE,TRUE,385,7337,56,5,https://api.github.com/users/tqchen,TRUE
https://github.com/hpi-xnor/BMXNet,FALSE,TRUE,370,6227,304,84,https://api.github.com/users/tqchen,TRUE
https://github.com/horovod/horovod,FALSE,TRUE,35,227,5382,745,https://api.github.com/users/alsrgv,TRUE
https://github.com/HoloClean/HoloClean-Legacy-deprecated,FALSE,TRUE,12,549,73,20,https://api.github.com/users/ah89,TRUE
https://github.com/holgern/beem,FALSE,TRUE,18,1262,64,26,https://api.github.com/users/holgern,TRUE
https://github.com/hclhkbu/dlbench,FALSE,TRUE,5,228,158,47,https://api.github.com/users/FreemanX,TRUE
https://github.com/HazyResearch/snorkel,FALSE,TRUE,39,2308,1770,390,https://api.github.com/users/ajratner,TRUE
https://github.com/HazyResearch/metal,FALSE,TRUE,13,815,87,21,https://api.github.com/users/bhancock8,TRUE
https://github.com/HazyResearch/fonduer,FALSE,TRUE,9,874,138,32,https://api.github.com/users/lukehsiao,TRUE
https://github.com/harvardnlp/namedtensor,FALSE,TRUE,17,309,247,33,https://api.github.com/users/srush,TRUE
https://github.com/Hananel-Hazan/bindsnet,FALSE,TRUE,8,758,267,46,https://api.github.com/users/djsaunde,TRUE
https://github.com/hackingmaterials/matminer,FALSE,TRUE,25,2825,118,63,https://api.github.com/users/saurabh02,TRUE
https://github.com/GRAAL-Research/pytoune,FALSE,TRUE,6,175,175,21,https://api.github.com/users/freud14,TRUE
https://github.com/google/sling,FALSE,TRUE,14,416,1633,232,https://api.github.com/users/ringgaard,TRUE
https://github.com/gheinrich/DIGITS-GAN,FALSE,TRUE,35,1482,93,34,https://api.github.com/users/lukeyeager,TRUE
https://github.com/geneing/parallel_wavenet_vocoder,FALSE,TRUE,6,183,19,3,https://api.github.com/users/r9y9,TRUE
https://github.com/gau820827/AI-writer_Data2Doc,FALSE,TRUE,5,170,42,12,https://api.github.com/users/gau820827,TRUE
https://github.com/fragcolor-xyz/nimtorch,FALSE,TRUE,5,876,201,7,https://api.github.com/users/sinkingsugar,TRUE
https://github.com/floydhub/dockerfiles,FALSE,TRUE,6,349,113,49,https://api.github.com/users/houqp,TRUE
https://github.com/feiwang3311/Lantern,FALSE,TRUE,8,657,94,10,https://api.github.com/users/feiwang3311,TRUE
https://github.com/fastnlp/fastNLP,FALSE,TRUE,16,601,218,65,https://api.github.com/users/FengZiYjun,TRUE
https://github.com/facebookresearch/TensorComprehensions,FALSE,TRUE,27,983,1423,149,https://api.github.com/users/nicolasvasilache,TRUE
https://github.com/facebookresearch/SparseConvNet,FALSE,TRUE,6,116,639,121,https://api.github.com/users/btgraham,TRUE
https://github.com/facebookresearch/SentEval,FALSE,TRUE,11,134,993,143,https://api.github.com/users/aconneau,TRUE
https://github.com/facebookresearch/pytext,FALSE,TRUE,24,134,4592,438,https://api.github.com/users/snisarg,TRUE
https://github.com/facebookresearch/ParlAI,FALSE,TRUE,73,2316,4175,765,https://api.github.com/users/emilydinan,TRUE
https://github.com/facebookresearch/maskrcnn-benchmark,FALSE,TRUE,48,104,4111,799,https://api.github.com/users/fmassa,TRUE
https://github.com/facebookresearch/ELF,FALSE,TRUE,13,242,1850,263,https://api.github.com/users/yuandong-tian,TRUE
https://github.com/facebookresearch/Detectron,FALSE,TRUE,23,118,19156,3994,https://api.github.com/users/ir413,TRUE
https://github.com/facebookresearch/DensePose,FALSE,TRUE,20,130,4261,711,https://api.github.com/users/vkhalidov,TRUE
https://github.com/fabianonline/OctoPrint-Telegram,FALSE,TRUE,5,211,96,34,https://api.github.com/users/fabianonline,TRUE
https://github.com/explosion/spaCy,FALSE,TRUE,298,8567,12294,2063,https://api.github.com/users/honnibal,TRUE
https://github.com/evennia/evennia,FALSE,TRUE,74,4999,826,393,https://api.github.com/users/Griatch,TRUE
https://github.com/espnet/espnet,FALSE,TRUE,27,2222,866,233,https://api.github.com/users/kan-bayashi,TRUE
