project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment
https://github.com/tomasreimers/tensorflow-emscripten,FALSE,TRUE,389,11306,53,9,https://api.github.com/users/tensorflower-gardener,TRUE,
https://github.com/conda/conda,FALSE,TRUE,212,11383,2716,675,https://api.github.com/users/kalefranz,TRUE,
https://github.com/NVIDIA/OpenSeq2Seq,FALSE,TRUE,26,1063,635,140,https://api.github.com/users/Kipok,TRUE,
https://github.com/Kismuz/btgym,FALSE,TRUE,5,610,367,116,https://api.github.com/users/Kismuz,TRUE,
https://github.com/IntelAI/models,FALSE,TRUE,16,232,40,2,https://api.github.com/users/dmsuehir,TRUE,
https://github.com/blei-lab/edward,FALSE,TRUE,78,1764,4092,734,https://api.github.com/users/dustinvtran,TRUE,
https://github.com/mlflow/mlflow,FALSE,TRUE,74,528,3149,537,https://api.github.com/users/smurching,TRUE,
https://github.com/allenai/allennlp,FALSE,TRUE,96,1309,5346,1001,https://api.github.com/users/schmmd,TRUE,
https://github.com/openvax/mhcflurry,FALSE,TRUE,9,851,50,17,https://api.github.com/users/timodonnell,TRUE,
https://github.com/rlworkgroup/garage,FALSE,TRUE,42,389,222,31,https://api.github.com/users/dementrock,TRUE,
https://github.com/tapanalyticstoolkit/spark-tk,FALSE,TRUE,17,326,11,14,https://api.github.com/users/blbarker,TRUE,
https://github.com/Microsoft/EdgeML,FALSE,TRUE,13,355,550,108,https://api.github.com/users/metastableB,TRUE,
https://github.com/asyml/texar,FALSE,TRUE,17,1200,1030,141,https://api.github.com/users/ZhitingHu,TRUE,
https://github.com/CSTR-Edinburgh/merlin,FALSE,TRUE,23,363,812,297,https://api.github.com/users/ronanki,TRUE,
https://github.com/apple/coremltools,FALSE,TRUE,34,286,1306,156,https://api.github.com/users/aseemw,TRUE,
https://github.com/dzhwinter/benchmark,FALSE,TRUE,10,219,3,13,https://api.github.com/users/dzhwinter,TRUE,
https://github.com/tensorflow/benchmarks,FALSE,TRUE,47,531,543,358,https://api.github.com/users/reedwm,TRUE,
https://github.com/blue-oil/blueoil,FALSE,TRUE,19,487,157,42,https://api.github.com/users/lm-konda,TRUE,
https://github.com/freesurfer/freesurfer,FALSE,TRUE,47,22321,87,97,https://api.github.com/users/dngreve,TRUE,
https://github.com/intel-analytics/BigDL,FALSE,TRUE,54,2230,2781,665,https://api.github.com/users/yiheng,TRUE,
https://github.com/tensorflow/probability,FALSE,TRUE,67,773,1757,349,https://api.github.com/users/csuter,TRUE,
https://github.com/RasaHQ/rasa_core,FALSE,TRUE,93,3759,1910,858,https://api.github.com/users/tmbo,TRUE,
https://github.com/keras-team/keras-contrib,FALSE,TRUE,52,541,923,388,https://api.github.com/users/titu1994,TRUE,
