project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment,
https://github.com/drivendataorg/concept-to-clinic,FALSE,TRUE,26,382,326,141,https://api.github.com/users/isms,TRUE,,
https://github.com/nesl/RSTensorFlow,FALSE,TRUE,376,14105,13,8,https://api.github.com/users/tensorflower-gardener,TRUE,Tensorflow itself,
https://github.com/kundajelab/dragonn,FALSE,TRUE,9,215,172,62,https://api.github.com/users/annashcherbina,TRUE,,
https://github.com/Tencent/FeatherCNN,FALSE,TRUE,11,328,831,215,https://api.github.com/users/turbo0628,TRUE,,
https://github.com/MarcBS/multimodal_keras_wrapper,FALSE,TRUE,6,982,17,19,https://api.github.com/users/lvapeab,TRUE,,
https://github.com/nerox8664/pytorch2keras,FALSE,TRUE,6,233,273,38,https://api.github.com/users/nerox8664,TRUE,,
https://github.com/Microsoft/onnxruntime,FALSE,TRUE,48,440,564,84,https://api.github.com/users/snnn,TRUE,,
https://github.com/eellak/gsoc2018-spacy,FALSE,TRUE,228,8532,30,2,https://api.github.com/users/honnibal,TRUE,GSOC project,
https://github.com/pschwllr/MolecularTransformer,FALSE,TRUE,102,1980,10,2,https://api.github.com/users/srush,TRUE,,
https://github.com/TensorMSA/tensormsa,FALSE,TRUE,8,864,98,18,https://api.github.com/users/parksungchan,TRUE,OSS World Challenge - Second Prize,
https://github.com/IBM/adversarial-robustness-toolbox,FALSE,TRUE,14,1239,597,152,https://api.github.com/users/ririnicolae,TRUE,,
https://github.com/HearthSim/HSReplay.net,FALSE,TRUE,8,6944,105,11,https://api.github.com/users/beheh,TRUE,,
https://github.com/NeuromorphicProcessorProject/snn_toolbox,FALSE,TRUE,6,462,55,24,https://api.github.com/users/rbodo,TRUE,,
https://github.com/ambujraj/hacktoberfest2018,FALSE,TRUE,438,2240,123,1036,https://api.github.com/users/ambujraj,TRUE,Hactoberfest, something to win a T-SHIRT
https://github.com/ECP-CANDLE/Benchmarks,FALSE,TRUE,13,417,30,38,https://api.github.com/users/levinas,TRUE,,
https://github.com/deepmipt/kpi2017,FALSE,TRUE,11,580,20,7,https://api.github.com/users/seliverstov,TRUE,,
https://github.com/NVIDIAGameWorks/Falcor,FALSE,TRUE,11,1201,733,149,https://api.github.com/users/nbenty,TRUE,,
https://github.com/tensorflow/adanet,FALSE,TRUE,11,182,2373,323,https://api.github.com/users/cweill,TRUE,,
https://github.com/RaRe-Technologies/gensim,FALSE,TRUE,311,3389,8666,3237,https://api.github.com/users/piskvorky,TRUE,,
https://github.com/maxpumperla/betago,FALSE,TRUE,7,224,590,138,https://api.github.com/users/maxpumperla,TRUE,,
https://github.com/totalgood/nlpia,FALSE,TRUE,7,678,119,48,https://api.github.com/users/hobson,TRUE,Code for a Book,
https://github.com/paninski-lab/yass,FALSE,TRUE,7,1040,26,9,https://api.github.com/users/edublancas,TRUE,,
https://github.com/lwtnn/lwtnn,FALSE,TRUE,7,406,58,28,https://api.github.com/users/dguest,TRUE,,
https://github.com/LLNL/lbann,FALSE,TRUE,19,6044,64,31,https://api.github.com/users/timmoon10,TRUE,,
https://github.com/mil-tokyo/webdnn,FALSE,TRUE,11,1238,1545,125,https://api.github.com/users/Kiikurage,TRUE,,
